Player Name,Age,Positions,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Isac Lundestrom,26,C,CBJ,"$1,300,000",11.26,0.29,2.35,74,74,11.26,0.29,2.35,13.90,8,12,20,1,1,2,1,0,1,47,55,8,285,293,62,-7,-828,689,-477,263,8480806,,,
Mattias Janmark,33,C,EDM,"$1,450,000",11.34,0.09,1.63,78,78,11.34,0.09,1.63,13.06,6,14,20,0,0,0,1,1,2,43,32,29,72,100,62,-3,-789,672,-438,148,8477406,,,
Brandon Duhaime,28,RW,WSH,"$1,850,000",10.73,0.16,2.01,81,81,10.73,0.16,2.01,12.90,11,9,20,0,1,1,1,0,1,182,52,69,10,13,100,0,-89,240,215,179,8479520,,,
Alexandre Texier,26,"LW,RW",STL,"$2,100,000",11.93,0.78,0.48,51,51,11.93,0.78,0.48,13.19,9,11,20,1,2,3,0,0,0,35,21,18,1,4,75,-4,-784,668,-485,127,8480074,,,
Garnet Hathaway,34,RW,PHI,"$2,400,000",10.16,0.13,1.37,80,80,10.16,0.13,1.37,11.67,10,10,20,0,0,0,1,1,2,285,68,55,8,10,86,3,3,178,307,204,8477903,,,
Trevor van Riemsdyk,34,D,WSH,"$3,000,000",16.21,0.08,1.61,80,80,16.21,0.08,1.61,17.90,3,17,20,0,0,0,0,1,1,13,137,23,0,0,79,8,-475,496,-230,165,8477845,,,
Tanner Jeannot,28,"LW,RW",BOS,"$3,400,000",11.02,0.29,0.16,77,77,11.02,0.29,0.16,11.47,9,11,20,1,1,2,0,0,0,249,43,66,13,17,74,-1,-52,209,248,171,8479661,,,
Yakov Trenin,29,C,MIN,"$3,500,000",11.40,0.18,1.38,76,76,11.40,0.18,1.38,12.96,10,10,20,0,1,1,1,0,1,218,33,33,27,27,95,-1,-368,419,-18,200,8478508,,,
Brenden Dillon,35,D,NJ,"$4,000,000",15.98,0.12,2.47,80,80,15.98,0.12,2.47,18.56,3,17,20,0,1,1,0,1,1,178,105,60,0,0,60,5,-52,211,193,157,8475455,,,
Brian Dumoulin,34,D,LA,"$4,000,000",17.13,0.06,2.03,79,79,17.13,0.06,2.03,19.23,4,16,20,0,0,0,0,0,0,70,104,16,0,0,65,-5,-530,530,-285,151,8475208,,,
Nick Leddy,34,D,SJ,"$4,000,000",18.16,0.10,1.09,78,78,18.16,0.10,1.09,19.35,3,17,20,0,1,1,0,0,0,20,87,13,0,0,56,2,-690,633,-445,129,8475181,,,
Jamie Oleksiak,33,D,SEA,"$4,600,000",16.18,0.08,2.65,82,82,16.18,0.08,2.65,18.91,5,15,20,0,0,0,0,1,1,77,147,30,0,0,78,0,-287,363,-41,179,8476467,,,
Ben Chiarot,34,D,DET,"$4,750,000",19.20,0.15,1.78,78,78,19.20,0.15,1.78,21.13,5,15,20,0,1,1,0,0,0,121,147,52,0,0,102,-11,-11,189,235,196,8475279,,,
Rasmus Ristolainen,31,D,PHI,"$5,100,000",17.33,0.99,1.66,65,65,17.33,0.99,1.66,19.98,5,15,20,1,4,5,0,1,1,99,103,18,0,0,98,6,-346,402,-100,199,8477499,,,
Aleksander Barkov,30,C,FLA,"$10,000,000",15.18,3.14,1.62,20,20,15.18,3.14,1.62,19.93,6,14,20,2,6,8,0,1,1,25,15,4,156,119,46,5,-962,730,-611,173,8477493,,,
Klim Kostin,26,C,SJ,$1,9.97,0.95,0.03,55,55,9.97,0.95,0.03,10.94,8,11,19,1,2,3,0,0,0,161,22,33,6,12,51,-6,-568,551,-217,129,8480011,,,
Nathan Bastian,28,RW,DAL,"$775,000",9.95,0.34,0.74,75,75,9.95,0.34,0.74,11.03,8,11,19,1,1,2,0,1,1,175,39,32,11,22,69,-3,-437,463,-133,160,8479414,,,
Zach Aston-Reese,31,C,CBJ,"$775,000",11.67,0.03,1.10,78,78,11.67,0.03,1.10,12.80,9,10,19,0,0,0,1,0,1,170,54,23,3,4,90,-3,-494,508,-143,181,8479944,,,
Vitali Kravtsov,26,"LW,RW",VAN,"$775,000",10.62,0.65,0.00,68,68,10.62,0.65,0.00,11.26,9,10,19,2,2,4,0,0,0,48,26,11,0,5,66,-2,-806,682,-506,128,8480833,,,
Oskar Back,25,C,DAL,"$825,000",10.32,0.10,1.50,75,75,10.32,0.10,1.50,11.93,7,12,19,0,0,0,0,1,1,29,37,10,81,63,56,-2,-940,725,-589,145,8480840,,,
A.J. Greer,29,LW,FLA,"$850,000",8.84,0.20,0.41,80,80,8.84,0.20,0.41,9.46,8,11,19,0,1,1,0,0,0,188,32,70,11,20,80,0,-174,278,126,151,8478421,,,
Adam Boqvist,25,D,NYI,"$850,000",12.57,2.02,0.05,49,49,12.57,2.02,0.05,14.65,4,15,19,1,8,9,0,0,0,18,38,9,0,0,55,-4,-761,656,-515,116,8480871,,,
Ethan Del Mastro,23,D,CHI,"$855,833",18.00,0.04,0.26,65,65,18.00,0.04,0.26,18.30,5,14,19,0,0,0,0,0,0,106,69,16,0,0,57,-2,-579,557,-334,139,8482807,,,
Luca Del Bel Belluz,22,C,CBJ,"$859,999",13.34,0.94,0.00,36,36,13.34,0.94,0.00,14.29,8,11,19,1,2,3,0,0,0,10,24,5,134,180,52,0,-1009,748,-658,175,8483432,,,
Brennan Othmann,23,LW,NYR,"$863,333",10.07,0.33,0.00,65,65,10.07,0.33,0.00,10.40,8,11,19,1,1,2,0,0,0,118,23,9,0,8,73,0,-717,644,-418,150,8482747,,,
Simon Nemec,21,D,NJ,"$918,333",14.34,0.70,0.66,77,77,14.34,0.70,0.66,15.70,5,14,19,1,3,4,0,0,0,12,86,30,0,0,80,-9,-519,525,-274,138,8483495,,,
Connor Dewar,26,C,PIT,"$1,100,000",9.95,0.22,1.65,72,72,9.95,0.22,1.65,11.82,9,10,19,1,1,2,1,0,1,168,48,25,84,110,78,-5,-499,510,-148,209,8480980,,,
Justin Barron,24,D,NSH,"$1,150,000",16.33,0.37,0.88,65,65,16.33,0.37,0.88,17.58,6,13,19,0,2,2,0,0,0,76,82,22,0,0,75,-1,-499,511,-253,154,8482111,,,
Joel Kiviranta,29,LW,COL,"$1,250,000",10.69,0.18,1.33,74,74,10.69,0.18,1.33,12.20,11,8,19,0,1,1,1,0,1,108,38,20,13,11,75,3,-624,588,-324,157,8481641,,,
Michael Eyssimont,29,"C,LW",BOS,"$1,450,000",10.60,0.22,0.01,77,77,10.60,0.22,0.01,10.84,10,9,19,1,1,2,0,0,0,115,26,57,6,13,131,2,-292,369,8,184,8479591,,,
Mark Kastelic,26,"C,RW",BOS,"$1,566,667",10.04,0.28,0.23,72,72,10.04,0.28,0.23,10.55,9,10,19,1,1,2,0,0,0,230,45,75,235,190,82,-3,-19,194,285,256,8480355,,,
Egor Zamula,25,D,PHI,"$1,700,000",15.24,0.72,0.49,71,71,15.24,0.72,0.49,16.45,3,16,19,1,3,4,0,0,0,30,92,17,0,0,51,5,-615,585,-369,130,8481178,,,
Sean Kuraly,33,C,BOS,"$1,850,000",10.78,0.14,1.19,81,81,10.78,0.14,1.19,12.11,9,10,19,0,0,0,0,1,1,165,44,39,284,252,91,-5,-424,452,-73,287,8476374,,,
Radek Faksa,32,C,DAL,"$2,000,000",11.24,0.21,1.45,78,78,11.24,0.21,1.45,12.90,8,11,19,0,1,1,1,0,1,115,53,25,359,278,74,-2,-601,578,-250,296,8476889,,,
David Kampf,31,C,TOR,"$2,400,000",10.38,0.13,2.12,74,74,10.38,0.13,2.12,12.62,8,11,19,0,0,0,1,0,1,63,30,14,270,243,63,-2,-857,697,-506,239,8480144,,,
Nick Perbix,27,D,NSH,"$2,750,000",14.71,0.04,0.30,76,76,14.71,0.04,0.30,15.05,4,15,19,0,0,0,0,0,0,53,76,17,0,0,70,7,-627,591,-381,143,8480246,,,
Mathieu Joseph,28,RW,STL,"$2,950,000",11.16,0.28,1.20,66,66,11.16,0.28,1.20,12.64,7,12,19,1,1,2,1,0,1,119,38,22,29,32,77,-1,-592,572,-288,164,8478472,,,
Connor Clifton,30,D,PIT,"$3,333,333",16.00,0.04,2.42,76,76,16.00,0.04,2.42,18.46,4,15,19,0,0,0,0,1,1,221,125,47,0,0,78,-5,8,175,254,192,8477365,,,
Erik Gudbranson,34,D,CBJ,"$4,000,000",15.43,0.12,2.46,79,79,15.43,0.12,2.46,18.01,3,16,19,0,1,1,0,1,1,101,118,39,0,0,72,-6,-276,354,-30,157,8475790,,,
Ryan Lindgren,27,D,SEA,"$4,500,000",17.15,0.04,2.44,74,74,17.15,0.04,2.44,19.63,3,16,19,0,0,0,0,1,1,79,117,37,0,0,70,-1,-346,400,-100,152,8479324,,,
David Savard,35,D,MTL,$1,13.87,0.05,3.14,74,74,13.87,0.05,3.14,17.06,3,15,18,0,0,0,0,1,1,55,163,28,0,0,46,-9,-376,425,-131,141,8475233,,,
Wyatt Kaiser,23,D,CHI,$1,16.40,0.07,1.58,74,74,16.40,0.07,1.58,18.05,4,14,18,0,0,0,0,0,0,58,108,27,0,0,74,-6,-469,490,-223,148,8482176,,,
